hs4,M,,,
3506,0,,,
3507,0,,,
3602,0,,,
3603,0,,,
3604,0,,,
3605,0,,,
3606,0,,,
3701,0,,,
3702,0,,,
3703,0,,,
3704,0,,,
3705,0,,,
3706,0,,,
3707,0,,,
3801,0,,,
3802,0,,,
3804,0,,,
3805,0,,,
3806,0,,,
3807,0,,,
3808,0,,,
3809,0,,,
3810,0,,,
3811,0,,,
3812,0,,,
3813,0,,,
3814,0,,,
3815,0,,,
3816,0,,,
3817,0,,,
3818,0,,,
3819,0,,,
3820,0,,,
3821,0,,,
3822,0,,,
3823,0,,,
3901,0,,,
3902,0,,,
3903,0,,,
3904,0,,,
3905,0,,,
3906,0,,,
3907,0,,,
3908,0,,,
3909,0,,,
3910,0,,,
3911,0,,,
3912,0,,,
3913,0,,,
3914,0,,,
3915,0,,,
3916,0,,,
3917,0,,,
3918,0,,,
3919,0,,,
3920,0,,,
3921,0,,,
3922,0,,,
3923,0,,,
3924,0,,,
3925,0,,,
3926,0,,,
4001,0,,,
4002,0,,,
4003,0,,,
4004,0,,,
4005,0,,,
4006,0,,,
4007,0,,,
4008,0,,,
4009,0,,,
4010,0,,,
4011,0,,,
4012,0,,,
4013,0,,,
4014,0,,,
4015,0,,,
4016,0,,,
4017,0,,,
4101,0,,,
4102,0,,,
4103,0,,,
4104,0,,,
4105,0,,,
4106,0,,,
4107,0,,,
4201,0,,,
4202,0,,,
4203,0,,,
4205,0,,,
4206,0,,,
4301,0,,,
4302,0,,,
4303,0,,,
4304,0,,,
4401,0,,,
4402,0,,,
4403,0,,,
4404,0,,,
4405,0,,,
4406,0,,,
4407,0,,,
4408,0,,,
4409,0,,,
4410,0,,,
4411,0,,,
4412,0,,,
4413,0,,,
4414,0,,,
4415,0,,,
4416,0,,,
4417,0,,,
4418,0,,,
4419,0,,,
4420,0,,,
4421,0,,,
4501,0,,,
4502,0,,,
4503,0,,,
4504,0,,,
4601,0,,,
4602,0,,,
4703,0,,,
4706,0,,,
4707,0,,,
4801,0,,,
4802,0,,,
4803,0,,,
4804,0,,,
4805,0,,,
4806,0,,,
4807,0,,,
4808,0,,,
4809,0,,,
4810,0,,,
4811,0,,,
4812,0,,,
4813,0,,,
4814,0,,,
4816,0,,,
4817,0,,,
4818,0,,,
4819,0,,,
4820,0,,,
4821,0,,,
4822,0,,,
4823,0,,,
4901,0,,,
4902,0,,,
4903,0,,,
4904,0,,,
4905,0,,,
4906,0,,,
4907,0,,,
4908,0,,,
4909,0,,,
4910,0,,,
4911,0,,,
5001,0,,,
5002,0,,,
5004,0,,,
5006,0,,,
5007,0,,,
5101,0,,,
5103,0,,,
5105,0,,,
5106,0,,,
5107,0,,,
5108,0,,,
5109,0,,,
5111,0,,,
5112,0,,,
5113,0,,,
5201,0,,,
5202,0,,,
5203,0,,,
5204,0,,,
5205,0,,,
5206,0,,,
5207,0,,,
5208,0,,,
5209,0,,,
5210,0,,,
5211,0,,,
5212,0,,,
5301,0,,,
5302,0,,,
5303,0,,,
5305,0,,,
5306,0,,,
5307,0,,,
5308,0,,,
5309,0,,,
5310,0,,,
5311,0,,,
5401,0,,,
5402,0,,,
5403,0,,,
5404,0,,,
5405,0,,,
5406,0,,,
5407,0,,,
5408,0,,,
5501,0,,,
5502,0,,,
5503,0,,,
5504,0,,,
5505,0,,,
5506,0,,,
5508,0,,,
5509,0,,,
5510,0,,,
5511,0,,,
5512,0,,,
5513,0,,,
5514,0,,,
5515,0,,,
5516,0,,,
5601,0,,,
5602,0,,,
5603,0,,,
5604,0,,,
5605,0,,,
5606,0,,,
5607,0,,,
5608,0,,,
5609,0,,,
5701,0,,,
5702,0,,,
5703,0,,,
5704,0,,,
5705,0,,,
5801,0,,,
5802,0,,,
5803,0,,,
5804,0,,,
5805,0,,,
5806,0,,,
5807,0,,,
5808,0,,,
5809,0,,,
5810,0,,,
5811,0,,,
5901,0,,,
5902,0,,,
5903,0,,,
5904,0,,,
5905,0,,,
5906,0,,,
5907,0,,,
5908,0,,,
5909,0,,,
5910,0,,,
5911,0,,,
6001,0,,,
6002,0,,,
6101,0,,,
6102,0,,,
6103,0,,,
6104,0,,,
6105,0,,,
6106,0,,,
6107,0,,,
6108,0,,,
6109,0,,,
6110,0,,,
6111,0,,,
6112,0,,,
6113,0,,,
6114,0,,,
6115,0,,,
6116,0,,,
6117,0,,,
6201,0,,,
6202,0,,,
6203,0,,,
6204,0,,,
6205,0,,,
6206,0,,,
6207,0,,,
6208,0,,,
6209,0,,,
6210,0,,,
6211,0,,,
6212,0,,,
6213,0,,,
6214,0,,,
6215,0,,,
6216,0,,,
6217,0,,,
6301,0,,,
6302,0,,,
6303,0,,,
6304,0,,,
6305,0,,,
6306,0,,,
6307,0,,,
6308,0,,,
6309,0,,,
6310,0,,,
6401,0,,,
6402,0,,,
6403,0,,,
6404,0,,,
6405,0,,,
6406,0,,,
6501,0,,,
6502,0,,,
6504,0,,,
6505,0,,,
6506,0,,,
6507,0,,,
6601,0,,,
6602,0,,,
6603,0,,,
6701,0,,,
6702,0,,,
6703,0,,,
6704,0,,,
6801,0,,,
6802,0,,,
6803,0,,,
6804,0,,,
6805,0,,,
6806,0,,,
6807,0,,,
6808,0,,,
6809,0,,,
6810,0,,,
6811,0,,,
6812,0,,,
6813,0,,,
6814,0,,,
6815,0,,,
6901,0,,,
6902,0,,,
6903,0,,,
6904,0,,,
6905,0,,,
6906,0,,,
6907,0,,,
6908,0,,,
6909,0,,,
6910,0,,,
6911,0,,,
6912,0,,,
6913,0,,,
6914,0,,,
7001,0,,,
7002,0,,,
7003,0,,,
7004,0,,,
7005,0,,,
7006,0,,,
7007,0,,,
7008,0,,,
7009,0,,,
7010,0,,,
7011,0,,,
7013,0,,,
7014,0,,,
7015,0,,,
7016,0,,,
7017,0,,,
7018,0,,,
7019,0,,,
7020,0,,,
7101,0,,,
7102,0,,,
7103,0,,,
7104,0,,,
7105,0,,,
7106,0,,,
7107,0,,,
7108,0,,,
7109,0,,,
7110,0,,,
7111,0,,,
7112,0,,,
7113,0,,,
7114,0,,,
7115,0,,,
7116,0,,,
7117,0,,,
7118,0,,,
7201,0,,,
7202,0,,,
7203,0,,,
7204,0,,,
7205,0,,,
7206,0,,,
7207,0,,,
7208,0,,,
7209,0,,,
7210,0,,,
7211,0,,,
7212,0,,,
7213,0,,,
7214,0,,,
7215,0,,,
7216,0,,,
7217,0,,,
7218,0,,,
7219,0,,,
7220,0,,,
7221,0,,,
7222,0,,,
7223,0,,,
7224,0,,,
7225,0,,,
7226,0,,,
7227,0,,,
7228,0,,,
7229,0,,,
7301,0,,,
7302,0,,,
7303,0,,,
7304,0,,,
7305,0,,,
7306,0,,,
7307,0,,,
7308,0,,,
7309,0,,,
7310,0,,,
7311,0,,,
7312,0,,,
7313,0,,,
7314,0,,,
7315,0,,,
7316,0,,,
7317,0,,,
7318,0,,,
7319,0,,,
7320,0,,,
7321,0,,,
7322,0,,,
7323,0,,,
7324,0,,,
7325,0,,,
7326,0,,,
7401,0,,,
7402,0,,,
7403,0,,,
7404,0,,,
7405,0,,,
7406,0,,,
7407,0,,,
7408,0,,,
7409,0,,,
7410,0,,,
7411,0,,,
7412,0,,,
7413,0,,,
7415,0,,,
7418,0,,,
7419,0,,,
7502,0,,,
7503,0,,,
7504,0,,,
7505,0,,,
7506,0,,,
7507,0,,,
7508,0,,,
7601,0,,,
7602,0,,,
7603,0,,,
7604,0,,,
7605,0,,,
7606,0,,,
7607,0,,,
7608,0,,,
7609,0,,,
7610,0,,,
7611,0,,,
7612,0,,,
7613,0,,,
7614,0,,,
7615,0,,,
7616,0,,,
7801,0,,,
7802,0,,,
7804,0,,,
7806,0,,,
7901,0,,,
7902,0,,,
7903,0,,,
7904,0,,,
7905,0,,,
7907,0,,,
8001,0,,,
8002,0,,,
8003,0,,,
8007,0,,,
8101,0,,,
8102,0,,,
8103,0,,,
8104,0,,,
8105,0,,,
8106,0,,,
8107,0,,,
8108,0,,,
8109,0,,,
8110,0,,,
8111,0,,,
8112,0,,,
8113,0,,,
8201,0,,,
8202,0,,,
8203,0,,,
8204,0,,,
8205,0,,,
8206,0,,,
8207,0,,,
8208,0,,,
8209,0,,,
8210,0,,,
8211,0,,,
8212,0,,,
8213,0,,,
8214,0,,,
8215,0,,,
8301,0,,,
8302,0,,,
8303,0,,,
8304,0,,,
8305,0,,,
8306,0,,,
8307,0,,,
8308,0,,,
8309,0,,,
8310,0,,,
8311,0,,,
8401,0,,,
8402,0,,,
8403,0,,,
8404,0,,,
8405,1,,,
8406,0,,,
8407,0,,,
8408,0,,,
8409,0,,,
8410,0,,,
8411,0,,,
8412,0,,,
8413,0,,,
8414,0,,,
8415,0,,,
8416,0,,,
8417,0,,,
8418,0,,,
8419,0,,,
8420,0,,,
8421,0,,,
8422,0,,,
8423,0,,,
8424,0,,,
8425,0,,,
8426,0,,,
8427,0,,,
8428,0,,,
8429,0,,,
8430,0,,,
8431,0,,,
8432,0,,,
8433,0,,,
8434,0,,,
8435,0,,,
8436,0,,,
8437,0,,,
8438,1,,,
8439,0,,,
8440,0,,,
8441,0,,,
8442,0,,,
8443,0,,,
8444,0,,,
8445,0,,,
8446,0,,,
8447,0,,,
8448,0,,,
8449,0,,,
8450,0,,,
8451,0,,,
8452,0,,,
8453,0,,,
8454,0,,,
8455,0,,,
8456,0,,,
8457,0,,,
8458,0,,,
8459,0,,,
8460,0,,,
8461,0,,,
8462,0,,,
8463,0,,,
8464,0,,,
8465,0,,,
8466,0,,,
8467,0,,,
8468,0,,,
8469,0,,,
8470,0,,,
8471,0,,,
8472,0,,,
8473,0,,,
8474,0,,,
8475,0,,,
8476,0,,,
8477,0,,,
8478,0,,,
8479,0,,,
8480,0,,,
8481,0,,,
8482,0,,,
8483,0,,,
8484,0,,,
8501,0,,,
8502,0,,,
8503,0,,,
8504,0,,,
8505,0,,,
8506,0,,,
8507,0,,,
8508,0,,,
8509,0,,,
8510,0,,,
8511,0,,,
8512,0,,,
8513,0,,,
8514,0,,,
8515,0,,,
8516,0,,,
8517,0,,,
8518,0,,,
8519,0,,,
8521,0,,,
8522,0,,,
8523,0,,,
8525,0,,,
8526,0,,,
8527,0,,,
8528,0,,,
8529,0,,,
8530,0,,,
8531,0,,,
8532,0,,,
8533,0,,,
8534,0,,,
8535,0,,,
8536,0,,,
8537,0,,,
8538,0,,,
8539,0,,,
8540,0,,,
8541,0,,,
8542,0,,,
8543,0,,,
8544,0,,,
8545,0,,,
8546,0,,,
8547,0,,,
8548,0,,,
8602,0,,,
8604,0,,,
8605,0,,,
8606,0,,,
8607,0,,,
8608,0,,,
8609,0,,,
8701,0,,,
8702,0,,,
8703,0,,,
8704,0,,,
8705,0,,,
8706,0,,,
8707,0,,,
8708,0,,,
8709,0,,,
8710,0,,,
8711,0,,,
8712,0,,,
8713,0,,,
8714,0,,,
8715,1,,,
8716,0,,,
8801,0,,,
8802,0,,,
8803,0,,,
8804,0,,,
8805,0,,,
8901,0,,,
8902,0,,,
8903,0,,,
8904,0,,,
8905,0,,,
8906,0,,,
8907,0,,,
9001,0,,,
9002,0,,,
9003,0,,,
9004,0,,,
9005,0,,,
9006,0,,,
9007,0,,,
9008,0,,,
9010,0,,,
9011,0,,,
9012,0,,,
9013,0,,,
9014,0,,,
9015,0,,,
9016,0,,,
9017,0,,,
9018,0,,,
9019,0,,,
9020,0,,,
9021,0,,,
9022,0,,,
9023,0,,,
9024,0,,,
9025,0,,,
9026,0,,,
9027,0,,,
9028,0,,,
9029,0,,,
9030,0,,,
9031,0,,,
9032,0,,,
9033,0,,,
9101,0,,,
9102,0,,,
9103,0,,,
9104,0,,,
9105,0,,,
9106,0,,,
9107,0,,,
9108,0,,,
9109,0,,,
9110,0,,,
9111,0,,,
9112,0,,,
9113,0,,,
9114,0,,,
9201,0,,,
9202,0,,,
9205,0,,,
9206,0,,,
9207,0,,,
9208,0,,,
9209,0,,,
9303,0,,,
9304,0,,,
9305,0,,,
9306,0,,,
9307,0,,,
9401,0,,,
9402,0,,,
9403,0,,,
9404,0,,,
9405,0,,,
9406,0,,,
9503,0,,,
9504,0,,,
9505,0,,,
9506,0,,,
9507,0,,,
9508,0,,,
9601,0,,,
9602,0,,,
9603,0,,,
9604,0,,,
9605,0,,,
9606,0,,,
9607,0,,,
9608,0,,,
9609,0,,,
9610,0,,,
9611,0,,,
9612,0,,,
9613,0,,,
9614,0,,,
9615,0,,,
9616,0,,,
9617,0,,,
9618,0,,,
9701,0,,,
9702,0,,,
9703,0,,,
9704,0,,,
9705,0,,,
9706,0,,,
